"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"Agnelli_2002_Cavalla_11.6_43.7",43.7,11.6,1235.59308419195,3554.67963393526,3934.4744907084,NA,NA,44.9,66.4,142.3,122.4,147.7,"Mediterranean/Montane shrublands"
"Nastapoca_76.55_56.91",56.91,76.55,6416.79872369536,6416.79872369536,6416.79872369536,6416.79872369536,6416.79872369536,170.3,578.7,1004.1,1376.5,2536.8,"Boreal forests"
"Sheldrake_-76.13_56.63",56.63,-76.13,1546.6992069712,NA,NA,NA,NA,493.7,0,0,0,0,"Boreal forests"
"Marudi_114.133_-1.1",-1.1,114.133,6157.76231517116,6157.76231517116,6157.76231517116,6157.76231517116,6157.76231517116,15.9,19.4,48.3,50.2,45.3,"Tropical/Subtropical forests"
"Lek-Vorkuta_63.366667_67.416667",67.416667,63.366667,310.324902902955,NA,NA,NA,NA,302.3,527.5,909.7,886.1,1434.4,"Tundra"
"Kazache_136.25_70.77",70.77,136.25,582.748449900373,1116.44932770805,4134.01040887223,5152.21775491764,2858.20146318719,58.4,153.6,1687,5488,5718.5,"Tundra"
"Sentarum_112.043989_0.777008",0.777008,112.043989,49996.4225634608,49996.4225634608,49996.4225634608,49996.4225634608,49996.4225634608,149.3,516.1,1472.2,1983.3,1981.9,"Tropical/Subtropical forests"
"Sentarum_112.035489_0.782228",0.782228,112.035489,49996.4225634608,49996.4225634608,49996.4225634608,49996.4225634608,49996.4225634608,149,515.3,1470,1979.2,1964.4,"Tropical/Subtropical forests"
"Sentarum_112.033814_0.777775",0.777775,112.033814,49996.4225634608,49996.4225634608,49996.4225634608,NA,NA,149,515.3,1470,1979.2,1964.4,"Tropical/Subtropical forests"
"Rasau Jaya_109.352458_-0.146008",-0.146008,109.352458,809.425824096084,809.425824096084,NA,NA,NA,170.9,644.3,1830.3,2413.1,2484.4,"Tropical/Subtropical forests"
"Lake Agassiz_-94.55_48.78333333",48.78333333,-94.55,1755.83888235052,1755.83888235052,1793.1116334508,2080.61153050402,2693.23129965066,220.5,636.6,2155.7,3282.1,3261.5,"Temperate forests"
"Palsa Peatland_Kuujjuarapik_-77.666667_55.333333",55.333333,-77.666667,1145.24954473844,603.684322998575,1028.27174169849,1811.11752831938,2809.61501021944,221.5,439.8,1017.5,918.6,762.4,"Boreal forests"
"Laguna Seca_-69.241667_-18.183333",-18.183333,-69.241667,12719.5576376701,12719.5576376701,12719.5576376701,12719.5576376701,12719.5576376701,20.5,38.4,59.6,73.8,103.9,"Mediterranean/Montane shrublands"
"Riverbank_-120.59_37.52",37.52,-120.59,2626.34555954382,922.595696017089,2277.34865447825,2108.62194793782,2363.44812179888,29.5,37.3,61.7,74.1,84.8,"Temperate grasslands"
"Turlock Lake_-120.59085_37.62577",37.62577,-120.59085,58.2441180113859,806.03661759478,1619.15371250277,2145.52218601375,4678.95656050745,28,35.6,59.6,70.2,80.9,"Temperate grasslands"
"China Hat_-120.36906_37.46444",37.46444,-120.36906,90.1204588620937,263.604472734896,NA,NA,NA,24.9,31,54.3,64.7,73.9,"Temperate grasslands"
"Judgeford_174.95_-41.11",-41.11,174.95,41.3414645698047,201.54244759658,205.350677303626,205.350677303626,205.350677303626,20.9,39.3,78.2,109.6,156.8,"Temperate forests"
"China hat_-120.369_37.4644",37.4644,-120.369,216.873201612374,308.505332882465,308.505332882465,308.505332882465,308.505332882465,24.9,31,54.3,64.7,73.9,"Temperate grasslands"
"Post-Modesto_-120.46_37.5138",37.5138,-120.46,104.652818759988,308.505332882465,308.505332882465,308.505332882465,308.505332882465,27.7,35.6,61.2,71.5,82.6,"Temperate grasslands"
"Tokomaru_175.4_-40.3",-40.3,175.4,9.66269076672735,NA,NA,NA,NA,53.6,178.6,368.4,504.8,638.3,"Temperate forests"
"Egmont_174.2_-39.5",-39.5,174.2,15.8519732660369,NA,NA,NA,NA,46.9,101.8,209.9,246.1,320.6,"Temperate forests"
"Bruntwood_TeKowhai_175.4_-37.8",-37.8,175.4,62.2656660949439,124.193747457254,225.648948973339,NA,NA,34.3,79.4,196.3,227.6,257.9,"Temperate forests"
